id,fecha_informe,fecha_inicio_campo,fecha_fin_campo,presidente,encuestadora,producto,aprueba_pct,desaprueba_pct,nr_pct,n_muestra,aprueba_gob_pct,desaprueba_gob_pct,nr_gob_pct,neto_gob,modalidad,n_informe,excluir,url_fuente
87,01-03-2019,06-02-2019,01-03-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,20.1,39.8,40.1,1001,,,,,online,Citado en activaresearch.cl (01-03-2019),0,https://web.archive.org/web/20191226054330/https://www.activaresearch.cl/storage/downloads/555f4d5b25220ccd95eb1a9e7f16170d.pdf
88,01-03-2019,27-02-2019,01-03-2019,Sebastián Piñera,Cadem,Plaza Pública,39.0,45.0,16.0,707,,,,,online,268,0,https://insight-chile.cl/storage/2019/03/Track-PP-268-Febrero-S4-VF.pdf
89,07-03-2019,06-03-2019,07-03-2019,Sebastián Piñera,Cadem,Plaza Pública,37.0,48.0,15.0,707,,,,,online,269,0,https://insight-chile.cl/storage/2019/03/Track-PP-269-Marzo-S1-VF.pdf
90,14-03-2019,13-03-2019,14-03-2019,Sebastián Piñera,Cadem,Plaza Pública,40.0,46.0,14.0,707,,,,,online,270,0,https://insight-chile.cl/storage/2019/03/Track-PP-270-Marzo-S2-VF-1.pdf
91,21-03-2019,20-03-2019,21-03-2019,Sebastián Piñera,Cadem,Plaza Pública,37.0,50.0,13.0,707,,,,,online,271,0,https://insight-chile.cl/storage/2019/03/Track-PP-271-Marzo-S3-VF.pdf
92,22-03-2019,,22-03-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,13.2,44.2,42.6,,,,,,online,,1,
93,28-03-2019,27-03-2019,28-03-2019,Sebastián Piñera,Cadem,Plaza Pública,39.0,46.0,15.0,711,,,,,online,272,0,https://insight-chile.cl/storage/2019/04/Track-PP-272-Marzo-S4-VF.pdf
94,31-03-2019,24-03-2019,31-03-2019,Sebastián Piñera,Criteria,Agenda Criteria,34,53,13,899,,,,,online,Marzo 2019,0,https://web.archive.org/web/20211105163812/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Marzo-2019.pdf
95,31-03-2019,13-03-2019,31-03-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,13.2,44.2,3.3,1015,,,,,online,Citado en activaresearch.cl (31-03-2019),0,https://web.archive.org/web/20190406070639/https://www.activaresearch.cl/storage/downloads/46551643b563f180c2a78e0edfa88097.pdf
96,04-04-2019,03-04-2019,04-04-2019,Sebastián Piñera,Cadem,Plaza Pública,36.0,51.0,13.0,706,,,,,online,273,0,https://insight-chile.cl/storage/2019/04/Track-PP-273-Abril-S1-VF.pdf
97,11-04-2019,10-04-2019,11-04-2019,Sebastián Piñera,Cadem,Plaza Pública,36.0,52.0,12.0,709,,,,,online,274,0,https://insight-chile.cl/storage/2019/04/Track-PP-274-Abril-S2-VF-1.pdf
98,17-04-2019,17-04-2019,17-04-2019,Sebastián Piñera,Cadem,Plaza Pública,35.0,50.0,15.0,709,,,,,online,275,0,https://insight-chile.cl/storage/2019/04/Track-PP-275-Abril-S3-VF.pdf
99,25-04-2019,24-04-2019,25-04-2019,Sebastián Piñera,Cadem,Plaza Pública,35.0,53.0,12.0,713,,,,,online,276,0,https://insight-chile.cl/storage/2019/04/Track-PP-276-Abril-S4-VF.pdf
100,28-04-2019,18-04-2019,28-04-2019,Sebastián Piñera,Criteria,Agenda Criteria,36,50,14,830,,,,,online,Abril 2019,0,https://web.archive.org/web/20211030201413/https://www.criteria.cl/wp-content/uploads/2019/05/ACC-Abril-2019.pdf
101,02-05-2019,15-04-2019,02-05-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,17.7,36.2,46.1,1039,,,,,online,Citado en activaresearch.cl (02-05-2019),0,https://web.archive.org/web/20190604034654/https://activaresearch.cl/storage/downloads/2358078e33bde37a6e2e0efc781b1f5c.pdf
102,02-05-2019,02-05-2019,02-05-2019,Sebastián Piñera,Cadem,Plaza Pública,35.0,52.0,13.0,707,,,,,online,277,0,https://insight-chile.cl/storage/2019/05/Track-PP-277-Mayo-S1-VF.pdf
103,09-05-2019,08-05-2019,09-05-2019,Sebastián Piñera,Cadem,Plaza Pública,36.0,48.0,16.0,706,,,,,online,278,0,https://insight-chile.cl/storage/2019/05/Track-PP-278-Mayo-S2-VF.pdf
104,11-05-2019,,11-05-2019,Sebastián Piñera,MORI,MORI,27.0,63.0,10.0,,,,,,telefónica,Citado en Cooperativa (11-05-2019),0,https://www.cooperativa.cl/noticias/pais/politica/encuestas/cerc-mori-la-politica-y-sus-instituciones-estan-en-su-momento-mas/2019-05-27/105223.html
105,16-05-2019,15-05-2019,16-05-2019,Sebastián Piñera,Cadem,Plaza Pública,34.0,54.0,12.0,712,,,,,online,279,0,https://insight-chile.cl/storage/2019/05/Track-PP-279-Mayo-S3-VF.pdf
106,19-05-2019,04-05-2019,19-05-2019,Sebastián Piñera,MORI,MORI,27,63,10,1200,,,,,online,Citado en morichile.cl (19-05-2019),0,http://morichile.cl/wp-content/uploads/2019/05/INFORME_BAROMETRO_DE_LAPOLiTICA_2019.pdf
107,23-05-2019,,23-05-2019,Sebastián Piñera,Activa Research,Pulso Ciudadano,17.3,41.0,41.7,,,,,,online,,1,
108,23-05-2019,22-05-2019,23-05-2019,Sebastián Piñera,Cadem,Plaza Pública,33.0,52.0,15.0,714,,,,,online,280,0,http://web.archive.org/web/20200215094706/http://www.cadem.cl:80/wp-content/uploads/2019/05/Track-PP-280-Mayo-S4-VF.pdf
